Epoch 1270/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1280/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 1290/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 1300/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1310/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1320/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1330/100000, Disc Loss: 0.68, Gen Loss: 0.74 
Epoch 1340/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 1350/100000, Disc Loss: 0.65, Gen Loss: 0.8 
Epoch 1360/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 1370/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1380/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 1390/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1400/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1410/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1420/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 1430/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1440/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1450/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 1460/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1470/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1480/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1490/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1500/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1510/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1520/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1530/100000, Disc Loss: 0.66, Gen Loss: 0.77 
Epoch 1540/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1550/100000, Disc Loss: 0.66, Gen Loss: 0.77 
Epoch 1560/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1570/100000, Disc Loss: 0.65, Gen Loss: 0.8 
Epoch 1580/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 1590/100000, Disc Loss: 0.66, Gen Loss: 0.77 
Epoch 1600/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 1610/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1620/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1630/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1640/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 1650/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1660/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 1670/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1680/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1690/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 1700/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1710/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1720/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1730/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1740/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1750/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1760/100000, Disc Loss: 0.65, Gen Loss: 0.81 
Epoch 1770/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 1780/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 1790/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1800/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1810/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1820/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 1830/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1840/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 1850/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 1860/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1870/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 1880/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 1890/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 1900/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 1910/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1920/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 1930/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 1940/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 1950/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 1960/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 1970/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 1980/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 1990/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 2000/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 2010/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 2020/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 2030/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 2040/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 2050/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2060/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 2070/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 2080/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 2090/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2100/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 2110/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 2120/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 2130/100000, Disc Loss: 0.67, Gen Loss: 0.78 
